ticker,sector,calendarDate,updated,dateKey,SO_Q22020,accumulatedOtherComprehensiveIncome,assets,bookValuePerShare,capitalExpenditure,cashAndEquivalents,costOfRevenue,consolidatedIncome,debtToEquityRatio,debt,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,shareholdersEquity,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,totalLiabilities,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,Year,Month,Quarter
ESS,APARTMENT,6/30/17,2/21/20,7/31/17,67973.42,-28341000,12524951000,96.103,-59748000,199876000,98265000,75795000,0.956,5663395000,0,117939000,0,0.026,1.75,127571000,245510000,0.724,70759000,1.08,1.08,6316773000,22733031864,31,19.11,89385000,1.36,240797000,0.71,0,56812000,17988470000,0,1233079000,6041843000,17269512864,99541000,0,96877000,67115000,-114761000,34231000,-83823000,-23947000,149133000,0,70759000,70759000,0,5036000,0.209,128550000,112247000,186984000,1.62,2.734,33.805,33.551,10987356000,0,261.7,12.959,12.907,54660000,-785939000,339062000,0,2108000,10337000,1,65989732,65729074,65819694,5.158,12524951000,0,0,0,190.554,2017,6,2
ESS,APARTMENT,3/31/17,2/21/20,5/1/17,67973.42,-29959000,12447427000,95.562,-241499000,100252000,99513000,187551000,0.96,5602507000,0,115503000,0,0.026,1.75,233547000,349050000,1.041,178964000,2.73,2.72,6264021000,21769468238,30,18.428,-18226000,-0.278,235891000,0.703,0,54583000,17949682000,0,1210235000,6013009000,16267213238,19423000,0,5729000,-6787000,-104857000,-113424000,-90426000,-70577000,223273000,0,178964000,178964000,0,8587000,0.534,126660000,109231000,220368000,0.641,2.597,31.765,31.711,11032369000,0,247.98,12.369,12.359,50855000,-741204000,335404000,0,1253000,10601000,1,65598892,65549484,65859490,5.117,12447427000,0,0,0,189.894,2017,3,1
ESS,APARTMENT,12/31/16,2/21/20,2/24/17,67973.42,-32098000,12217408000,94.507,-249912000,170302000,98997000,204517000,0.95,5563260000,0,111835000,0,0.028,1.6,250496000,362331000,1.101,195569000,2.99,2.98,6192178000,20623377355,32,19.161,-117664000,-1.796,230041000,0.699,0,54927000,17610366000,0,1300464000,5880487000,15230419355,-130246000,0,24000,7121000,-104850000,-105897000,-156597000,-20225000,132248000,0,195569000,195569000,0,8948000,0.594,124521000,105520000,174135000,0.535,2.46,37.046,36.998,10657222000,0,232.35,11.77,11.756,40970000,-805409000,329038000,0,6463000,12224000,1,65549470,65521148,65615281,5.022,12217408000,0,0,0,186.465,2016,12,4
ESS,APARTMENT,9/30/16,2/21/20,10/31/16,67973.42,-40095000,12177196000,92.945,-66139000,211055000,99361000,70162000,0.977,5584687000,0,110467000,0,0.029,1.6,122254000,232721000,0.707,65561000,1,1,6088618000,19400258161,37,20.045,163783000,2.5,229810000,0.698,0,56693000,17550828000,0,1276616000,5949185000,14026626161,12652000,0,6015000,-27302000,-104796000,-133587000,-83683000,-28547000,229922000,0,65561000,65561000,0,4601000,0.199,120398000,109412000,220103000,1.6,2.304,47.519,47.47,10614884000,0,214.09,10.995,10.994,22941000,-896120000,329171000,0,1238000,9647000,1,65517428,65507669,65617551,5.025,12177196000,0,0,0,185.89,2016,9,3
ESS,APARTMENT,6/30/16,2/21/20,8/1/16,67973.42,-43007000,12206691000,93.477,-57172000,215376000,96079000,76824000,0.972,5618286000,0,109673000,0,0.026,1.6,127581000,237254000,0.738,72013000,1.1,1.1,6118146000,20769311238,42,21.976,92571000,1.414,225511000,0.701,0,55568000,17609601000,0,1255535000,5947084000,15366401238,134351000,0,6383000,271451000,-106012000,84981000,-100373000,-41563000,149743000,0,72013000,72013000,0,4811000,0.224,119638000,105873000,183690000,1.455,2.512,56.506,56.399,10668226000,0,234.62,12.282,12.273,20448000,-856815000,321590000,0,1708000,9698000,1,65494848,65451110,65575378,4.913,12206691000,0,0,0,186.501,2016,6,2
ESS,APARTMENT,3/31/16,2/21/20,5/3/16,67973.42,-44149000,12067484000,93.906,-162804000,80483000,94490000,86907000,0.941,5352802000,0,109707000,0,0.026,1.6,134302000,244009000,0.777,81836000,1.19,1.19,6141992000,19897253164,43,21.645,37806000,0.578,219712000,0.699,0,52466000,17339803000,0,1208281000,5780041000,14624934164,18481000,0,5098000,-4008000,-95476000,-101370000,-80759000,-25744000,200610000,0,81836000,77981000,0,5071000,0.248,119717000,99995000,207266000,1.345,2.381,59.576,59.447,10720586000,3855000,223.52,11.932,11.927,18198000,-824046000,314202000,0,1490000,9182000,1,65430092,65405654,65557639,4.804,12067484000,0,0,0,184.502,2016,3,1
ESS,APARTMENT,12/31/15,2/21/20,2/26/16,67973.42,-42011000,12005091000,95.463,-254757000,123055000,92141000,85762000,0.901,5315464000,0,116477000,0,0.027,1.44,137364000,253841000,0.817,80938000,1.22,1.22,6237733000,18927532778,43,21.258,-125255000,-1.917,218605000,0.703,0,56426000,17197500000,0,1173532000,5622616000,13735123778,-5985000,0,28669000,5316000,-95257000,-70252000,-65235000,-7418000,129502000,0,80938000,79624000,0,4824000,0.256,126401000,92204000,172368000,1.18,2.202,60.543,59.994,10650782000,1314000,209.98,11.5,11.405,19285000,-797329000,310746000,0,550000,8867000,1,65411581,65341886,65568430,4.756,12005091000,0,0,0,183.727,2015,12,4
ESS,APARTMENT,9/30/15,2/21/20,11/4/15,67973.42,-50357000,12012717000,95.504,-71756000,72306000,94119000,47182000,0.909,5317420000,0,116308000,0,0.025,1.44,93690000,209998000,0.689,43637000,0.65,0.65,6221041000,19894349458,51,23.904,129104000,1.982,210507000,0.691,0,50053000,17257831000,0,1169101000,5656305000,14649235458,5426000,0,38998000,-49531000,-94981000,-110267000,-85167000,-2194000,200860000,0,43637000,42323000,0,3545000,0.139,127818000,82689000,204218000,2.215,2.355,78.031,75.713,10697866000,1314000,221.84,12.603,12.432,22668000,-782801000,304626000,0,2054000,11129000,1,66035140,65138868,65297550,4.677,12012717000,0,0,0,184.417,2015,9,3
ESS,APARTMENT,6/30/15,2/21/20,8/6/15,67973.42,-50152000,12045004000,96.189,-178285000,65152000,90077000,50542000,0.911,5369331000,0,113731000,0,0.024,1.44,97670000,211401000,0.714,46868000,0.7,0.7,6234052000,20166998553,51,24.289,-53786000,-0.83,206085000,0.696,0,50802000,17349183000,0,1165452000,5676534000,14862819553,-188958000,0,100805000,-27013000,-93356000,-27357000,-288298000,-119624000,124499000,0,46868000,45555000,0,3674000,0.154,125119000,80966000,172847000,2.057,2.384,74.657,72.227,10731813000,1313000,226.07,13.174,12.987,25676000,-731181000,296162000,0,2087000,9549000,1,65744325,64810184,64972852,4.57,12045004000,0,0,0,185.85,2015,6,2
ESS,APARTMENT,3/31/15,2/21/20,5/11/15,67973.42,-50868000,12085159000,96.388,-325451000,255230000,87171000,64753000,0.931,5436053000,0,106907000,0,0.024,1.44,108223000,215130000,0.761,60677000,0.92,0.92,6186707000,19636717695,57,25.803,-162902000,-2.538,195702000,0.692,0,47546000,17265982000,0,1185800000,5759387000,14455894695,193590000,0,190205000,219732000,-83663000,316090000,-286856000,-83817000,162549000,0,60677000,59363000,0,4076000,0.21,120387000,75315000,190853000,1.565,2.337,91.196,88.127,10518423000,1314000,221.2,13.244,13.008,28954000,-684436000,282873000,0,1370000,10545000,1,65352146,64185455,64394680,4.407,12085159000,0,0,0,188.285,2015,3,1
ESS,APARTMENT,12/31/14,2/21/20,3/2/15,67973.42,-51452000,11562874000,94.939,-76864000,95420000,88051000,45126000,0.897,5109817000,0,106381000,0,0.023,1.3,89339000,195720000,0.702,41809000,0.66,0.66,6022672000,19678122353,69,30.401,75131000,1.184,190649000,0.684,0,47530000,16577271000,0,1153651000,5403550000,14663725353,147757000,0,86471000,-130096000,-83174000,-132597000,-11994000,15207000,151995000,0,41809000,40495000,0,3317000,0.145,126078000,64571000,173027000,1.97,2.435,125.482,108.773,10178376000,1314000,225.16,15.128,13.135,24923000,-650797000,278700000,0,3744000,12257000,1,65125801,63437524,63456419,4.393,11562874000,0,0,0,182.272,2014,12,4
ESS,APARTMENT,9/30/14,2/21/20,11/6/14,67973.42,-51408000,11666562000,95.135,-410843000,88000000,87668000,58684000,0.928,5226125000,0,107235000,0,0.025,1.3,100794000,208029000,0.769,54964000,0.85,0.85,5983292000,18013509276,70,31.824,-248977000,-3.959,182811000,0.676,0,45830000,16804687000,0,1151424000,5551677000,12875384276,-69000,0,172408000,165648000,-82439000,246958000,-408893000,-64418000,161866000,0,54964000,53668000,0,3720000,0.198,117571000,65240000,205613000,1.529,2.152,114.506,85.322,10274724000,1296000,201.36,15.186,14.937,22973000,-608498000,270479000,0,1371000,11479000,1,63942115,62892601,63069772,4.301,11666562000,0,0,0,185.5,2014,9,3
ESS,APARTMENT,6/30/14,2/21/20,8/11/14,67973.42,-53794000,11348363000,94.667,-146177000,47538000,83220000,8428000,0.914,5065979000,0,93678000,0,0.026,1.3,48454000,142132000,0.548,6303000,0.08,0.08,5858448000,16971485103,67,33.55,-49998000,-0.808,176230000,0.679,0,42151000,16366804000,0,1071328000,5352615000,11953044103,-142325000,-415473000,126158000,322639000,1427000,436126000,-674630000,17373000,96179000,0,6303000,4989000,0,2125000,0.019,107597000,68633000,167125000,16.25,2.04,93.703,56.203,10017731000,1314000,188.28,16.302,15.891,66522000,-575772000,259450000,0,2392000,9558000,1,63485469,61884963,62059762,4.192,11348363000,0,0,0,183.378,2014,6,2
ESS,APARTMENT,3/31/14,2/21/20,5/12/14,67973.42,-56395000,6633042000,53.708,-66722000,48671000,53450000,26406000,1.517,2954297000,0,53298000,0,0.027,1.21,49335000,102633000,0.635,23280000,0.58,0.58,2023994000,14198083607,55,30.377,16221000,0.43,108195000,0.669,0,26055000,9538668000,0,816791000,3071289000,11292457607,1427000,0,158772000,-78805000,-96388000,-29877000,-51639000,960000,82943000,0,23280000,21912000,0,3126000,0.136,61348000,46847000,91141000,2.086,5.579,76.549,45.848,5648254000,1368000,180.64,18.005,10.854,36105000,-498368000,161645000,0,1233000,7075000,1,62513605,37685073,37931454,4.289,6633042000,0,0,0,176.012,2014,3,1
ESS,APARTMENT,12/31/13,2/21/20,2/26/14,67973.42,-60472000,5186839000,50.424,-176005000,53766000,52004000,36902000,1.69,3033524000,0,53117000,0,0.029,1.21,60118000,113235000,0.725,33242000,0.85,0.85,1884619000,9402755677,36,20.151,-96105000,-2.571,104242000,0.667,0,26876000,8166597000,0,767217000,3184252000,6422997677,8982000,0,15663000,113195000,-46522000,73791000,-144709000,8615000,79900000,0,33242000,31874000,-17852000,3660000,0.204,58763000,45479000,75230000,1.424,3.408,42.59,41.079,4239301000,1368000,166.37,10.466,10.098,68255000,-474426000,156246000,0,1371000,6676000,1,38606706,37375155,37454107,4.18,5186839000,0,0,0,138.778,2013,12,4
ESS,APARTMENT,9/30/13,2/21/20,11/4/13,67973.42,-62589000,5085602000,50.38,-68942000,55994000,52176000,75875000,1.642,2920756000,0,51510000,0,0.029,1.21,96343000,147853000,0.948,70156000,1.84,1.84,1880200000,9102848696,33,19.27,5554000,0.149,103726000,0.665,0,26187000,7950364000,0,763974000,3087549000,6238086696,-10708000,0,566000,-4434000,-46548000,-57898000,-27306000,17021000,74496000,0,70156000,68788000,-12843000,5719000,0.441,57518000,46208000,90780000,0.658,3.318,38.334,37.104,4126624000,1368000,164,10.337,10.143,67628000,-461005000,155902000,0,1011000,6075000,1,38037114,37320562,37436983,4.177,5085602000,0,0,0,136.268,2013,9,3
ESS,APARTMENT,6/30/13,2/21/20,8/5/13,67973.42,-62813000,5058998000,49.826,-32245000,45384000,50470000,29575000,1.66,2925616000,0,51033000,0,0.029,1.21,52639000,103672000,0.676,26314000,0.67,0.67,1858155000,8914097644,41,21.576,32649000,0.875,102934000,0.671,0,26325000,7939230000,0,706993000,3084605000,6033865644,-10627000,0,2823000,153972000,-46446000,100423000,-175944000,-143699000,64894000,0,26314000,24946000,0,3261000,0.163,57257000,45677000,84141000,1.806,3.247,54.773,52.188,4145179000,1368000,158.65,10.302,10.102,110544000,-484615000,153404000,0,994000,6224000,1,38032560,37292720,37390987,4.114,5058998000,0,0,0,135.656,2013,6,2
ESS,APARTMENT,3/31/13,2/21/20,5/6/13,67973.42,-68280000,4936459000,50.548,-193547000,55634000,48465000,29703000,1.576,2773538000,0,50074000,0,0.029,1.21,51782000,101856000,0.682,26571000,0.68,0.68,1870465000,8603810619,38,20.619,-107855000,-2.915,100877000,0.675,0,25211000,7654363000,0,660086000,2947895000,5885906619,12238000,0,124272000,-44572000,-41152000,32283000,-105737000,78759000,85692000,0,26571000,25203000,0,3132000,0.169,55197000,45680000,95229000,1.779,3.147,48.13,45.029,4160267000,1368000,154.9,10.42,10.148,11359000,-464391000,149342000,0,1132000,6626000,1,37998106,37003925,37092062,4.036,4936459000,0,0,0,133.404,2013,3,1
ESS,APARTMENT,12/31/12,2/21/20,2/25/13,67973.42,-69261000,4847223000,49.13,-277346000,42126000,47817000,49640000,1.679,2818683000,0,47980000,0,0.029,1.1,71025000,119005000,0.822,45161000,1.23,1.23,1764804000,8441424659,37,20.697,-229182000,-6.38,96988000,0.67,0,25864000,7623780000,0,664058000,2962758000,5664867659,16663000,0,89336000,223540000,-40806000,262571000,-294072000,-24027000,48164000,0,45161000,43793000,0,4479000,0.302,54847000,42141000,70250000,0.894,3.21,47.281,43.696,4019006000,1368000,149.44,10.424,9.634,66163000,-444466000,144805000,0,1261000,6867000,1,37907305,35921031,35997456,4.031,4847223000,0,0,0,134.941,2012,12,4
ESS,APARTMENT,9/30/12,2/21/20,11/5/12,67973.42,-76449000,4534672000,46.788,-110498000,26877000,46951000,20222000,1.651,2595701000,0,45967000,0,0.03,1.1,42651000,88618000,0.641,17587000,0.46,0.45,1665693000,7926416854,41,20.827,-20555000,-0.577,91191000,0.66,0,25064000,7103496000,0,619540000,2749232000,5357592854,-2189000,0,98683000,59569000,-40013000,109756000,-201888000,-79825000,89943000,0,17587000,16219000,0,2635000,0.117,51244000,39947000,81094000,2.391,3.216,59.559,53.335,3780021000,1368000,146.67,10.232,9.972,50316000,-448142000,138142000,0,955000,5276000,1,36528212,35600772,35699666,3.88,4534672000,0,0,0,127.376,2012,9,3
ESS,APARTMENT,6/30/12,2/21/20,8/6/12,67973.42,-72915000,4339116000,46.086,-69334000,27810000,44028000,42490000,1.647,2487747000,0,44684000,0,0.028,1.1,63105000,107789000,0.813,38446000,1.07,1.07,1593225000,8126369024,44,22.495,-12102000,-0.35,88533000,0.668,0,24659000,6799053000,0,550396000,2624412000,5666432024,-9612000,0,139821000,110017000,-38972000,205283000,-272127000,-211455000,57232000,0,38446000,37078000,0,4044000,0.28,50447000,38086000,66211000,1.028,3.557,69.593,61.024,3664605000,1368000,155.61,11.209,10.642,50895000,-425058000,132561000,0,939000,5764000,1,36414318,34570772,34708420,3.834,4339116000,0,0,0,125.514,2012,6,2
ESS,APARTMENT,3/31/12,2/21/20,5/7/12,67973.42,-70565000,4051378000,42.837,-57804000,37347000,41804000,27241000,1.697,2342883000,0,43699000,0,0.027,1.1,48748000,92447000,0.723,24090000,0.67,0.67,1457642000,7875060846,50,21.608,14356000,0.422,86114000,0.673,0,24658000,6356914000,0,481531000,2473579000,5569524846,855000,0,32523000,-18590000,-36459000,-27254000,-44051000,-3580000,72160000,0,24090000,22722000,-10037000,3151000,0.178,49005000,37109000,65429000,1.642,3.821,101.875,95.855,3434645000,1368000,158.16,11.363,10.98,48053000,-422919000,127918000,0,986000,5400000,1,35214497,34027890,34151475,3.759,4051378000,0,0,0,119.061,2012,3,1
ESS,APARTMENT,12/31/11,2/21/20,3/1/12,67973.42,-72771000,4036964000,42.885,-98789000,35463000,40073000,17868000,1.724,2360858000,0,51338000,0,0.03,1.04,40386000,91724000,0.734,15304000,0.55,0.42,1437527000,7227628151,52,23.871,-52912000,-1.578,84916000,0.679,0,25082000,6362359000,0,457687000,2478887000,4902233151,3869000,43328000,67195000,99242000,-35832000,125263000,-167271000,-118630000,45877000,0,15304000,13936000,-3097000,2564000,0.111,49365000,35551000,54829000,1.891,3.41,121.439,113.573,3437318000,1368000,140.83,10.308,9.637,66369000,-408066000,124989000,0,1309000,6753000,1,34809580,33520521,33600798,3.729,4036964000,0,0,0,120.433,2011,12,4
ESS,APARTMENT,12/31/11,2/21/20,2/27/12,67973.42,-72771000,4036964000,42.885,-98789000,35463000,40073000,17868000,1.724,2360858000,0,51338000,0,0.03,1.04,40386000,91724000,0.734,15304000,0.55,0.42,1437527000,7225539577,52,23.864,-52912000,-1.578,84916000,0.679,0,25082000,6362359000,0,457687000,2478887000,4900144577,3869000,43328000,67195000,99242000,-35832000,125263000,-167271000,-118630000,45877000,0,15304000,13936000,-3097000,2564000,0.111,49365000,35551000,54829000,1.891,3.409,121.387,113.524,3437318000,1368000,140.77,10.304,9.633,66369000,-408066000,124989000,0,1309000,6753000,1,34809580,33520521,33600798,3.729,4036964000,0,0,0,120.433,2011,12,4
ESS,APARTMENT,9/30/11,2/21/20,11/7/11,67973.42,-75237000,3905165000,41.915,-30439000,33017000,41349000,11085000,1.725,2260214000,0,38137000,0,0.03,1.04,31150000,69287000,0.577,9054000,0.26,0.23,1388310000,6933925699,53,18.615,35904000,1.084,78709000,0.656,0,22096000,6132362000,0,351034000,2394593000,4706728699,211000,-4370000,89147000,-3919000,-35299000,42261000,-108393000,-75629000,66343000,0,9054000,7687000,880000,2031000,0.064,47139000,31570000,73595000,4,3.39,150.818,162.271,3429799000,1367000,137.93,10.228,9.928,51599000,-386752000,120058000,0,562000,6066000,1,34124039,33121728,33209289,3.625,3905165000,0,0,0,117.903,2011,9,3
ESS,APARTMENT,6/30/11,2/21/20,8/8/11,67973.42,-74918000,3825855000,41.412,-55394000,32847000,40270000,16053000,1.79,2254461000,0,74541000,0,0.034,1.04,36459000,111000000,0.947,13749000,0.17,0.32,1326864000,6305028342,49,18.973,-8350000,-0.261,76928000,0.656,0,22710000,6047469000,0,273037000,2374754000,4083414342,-88874000,-7558000,134778000,-128419000,-34496000,-69985000,-65933000,-14607000,47044000,0,13749000,10325000,-5351000,2304000,0.088,46617000,30311000,60641000,6.118,3.077,136.578,150.938,3428778000,3424000,120.75,9.179,8.697,49956000,-359662000,117198000,0,1056000,6371000,1,33817096,32040904,32135064,3.658,3825855000,0,0,0,119.405,2011,6,2
ESS,APARTMENT,3/31/11,2/21/20,5/9/11,67973.42,-77785000,3866686000,37.004,-47332000,120786000,39072000,12507000,2.143,2370220000,0,0,0,0.031,1.04,33623000,33623000,0.296,8961000,0.27,0.27,1164361000,6616909925,54,26.221,9975000,0.317,74701000,0.657,0,24662000,6116120000,0,207940000,2494896000,4367475925,83930000,-31400000,39797000,112645000,-32995000,110809000,-84186000,-6590000,57307000,0,8961000,8418000,0,3546000,0.074,43146000,31555000,64673000,3.852,3.751,150.318,141.074,3450327000,543000,134.02,10.197,9.846,49075000,-338273000,113773000,0,0,6115000,1,32588240,31465817,31546593,3.616,3866686000,0,0,0,122.885,2011,3,1
ESS,APARTMENT,12/31/10,2/21/20,2/25/11,67973.42,-77217000,3732887000,37.5,-344059000,35694000,38398000,8628000,2.064,2258745000,0,129711000,0,0.034,1.032,28862000,158573000,1.453,5320000,0.15,0.15,1149946000,6118587565,50,24.162,-316813000,-10.331,70734000,0.648,0,23542000,5955938000,0,200150000,2373524000,3895536565,-915000,96596000,136471000,198783000,-31679000,231189000,-259350000,-10519000,27246000,0,5320000,4778000,0,3308000,0.044,44987000,25747000,53773000,6.88,3.388,115.375,106.228,3406539000,542000,121.1,9.37,8.642,49444000,-313308000,109132000,0,3251000,7974000,1,32167932,30665179,30741621,3.559,3732887000,0,0,0,121.73,2010,12,4
ESS,APARTMENT,9/30/10,2/21/20,11/9/10,67973.42,-79732000,3503753000,34.981,-69751000,36322000,37887000,10426000,2.171,2062451000,0,0,0,0.038,1.032,29122000,29122000,0.278,6920000,0.21,0.21,1038631000,5473476729,44,22.574,-10881000,-0.366,66894000,0.638,0,22202000,5529882000,0,204827000,2254429000,3447347729,6301000,-89839000,54534000,80286000,-31114000,75793000,-128362000,28541000,58870000,0,6920000,6377000,0,3506000,0.061,39428000,27466000,66887000,4.914,3.319,96.381,92.462,3169771000,543000,110.03,8.468,8.025,55605000,-285699000,104781000,0,0,6175000,1,31330980,29690910,29762420,3.529,3503753000,0,0,0,118.008,2010,9,3
ESS,APARTMENT,6/30/10,2/21/20,8/6/10,67973.42,-68791000,3324182000,34.763,-38056000,27796000,34998000,13869000,2.047,1907148000,0,0,0,0.039,1.032,31029000,31029000,0.308,10025000,0.32,0.32,1019574000,5095544564,44,21.769,-1617000,-0.055,65638000,0.652,0,21004000,5203534000,0,230250000,2087060000,3216192564,-13945000,-6757000,46812000,6930000,-30811000,-4723000,-45661000,4125000,36439000,0,10025000,9482000,0,3844000,0.094,37480000,28158000,55544000,3.225,3.154,62.902,59.91,2971279000,543000,106.04,7.958,7.695,55209000,-260966000,100636000,0,0,6219000,1,30329994,29329273,29402635,3.431,3324182000,0,0,0,113.34,2010,6,2
ESS,APARTMENT,3/31/10,2/21/20,5/6/10,67973.42,-34850000,3308431000,36.043,-34354000,40379000,34199000,17858000,1.952,1887652000,0,0,0,0.039,1.032,34505000,34505000,0.341,13669000,0.45,0.45,1044078000,5010792751,42,21.094,18621000,0.643,66985000,0.662,0,20836000,5155704000,0,251749000,2037791000,3163519751,1652000,0,18403000,40175000,-30025000,26172000,-77495000,-42381000,52975000,0,13669000,13127000,0,4189000,0.13,36105000,30880000,60128000,2.293,3.03,59.618,55.899,2944378000,542000,105.09,7.766,7.474,35545000,-239904000,101184000,0,0,5618000,1,30102957,28967855,29018571,3.493,3308431000,0,0,0,114.21,2010,3,1
ESS,APARTMENT,12/31/09,2/21/20,2/26/10,67973.42,-24206000,3254637000,37.061,-85596000,37934000,36480000,10600000,1.877,1847442000,0,118522000,0,0.048,1.03,29289000,147811000,1.471,6953000,0.21,0.22,1053096000,4357549306,35,18.033,-59671000,-2.1,64007000,0.637,0,22336000,5064145000,0,205627000,1976747000,2548041306,-61282000,0,38763000,-10653000,-29837000,-11754000,-75453000,9670000,25925000,0,6953000,6782000,-3057000,3647000,0.067,36279000,27728000,48841000,4.905,2.42,30.998,28.538,2938431000,171000,85.9,6.194,5.694,36305000,-222952000,100487000,0,3412000,5570000,1,29662879,28415577,30904326,3.536,3254637000,0,0,0,114.537,2009,12,4
ESS,APARTMENT,9/30/09,2/21/20,11/5/09,67973.42,-38551000,3265022000,37.071,-59863000,99070000,36166000,2349000,1.969,1856790000,0,0,0,0.052,1.03,20727000,20727000,0.204,-1239000,0.79,0.74,1022841000,4056270685,30,16.508,-1435000,-0.052,65681000,0.645,0,21966000,5022742000,0,202112000,2014238000,2298550685,16507000,0,84317000,26874000,-29656000,6943000,-48864000,-18008000,58428000,0,-1239000,21739000,-2280000,3588000,0.213,47085000,18596000,61821000,1.304,2.247,24.514,22.299,2885645000,-22978000,78.94,5.505,5.216,45762000,-199600000,101847000,0,0,6086000,1,29117693,27591341,30070076,3.691,3265022000,0,0,0,118.335,2009,9,3
ESS,APARTMENT,6/30/09,2/21/20,8/7/09,67973.42,-31755000,3238981000,35.283,-9742000,79826000,33972000,17452000,2.078,1829423000,0,0,0,0.055,1.03,34508000,34508000,0.332,12999000,0.43,0.43,946682000,3868704639,26,14.933,24429000,0.91,69845000,0.673,0,21509000,4988578000,0,186226000,1967556000,2119107639,223000,0,75931000,17117000,-28440000,57096000,-91044000,-68411000,34171000,0,12999000,11415000,-792000,4453000,0.11,34845000,35000000,57849000,2.395,2.238,25.108,23.126,2891071000,1584000,75.16,5.046,4.802,47635000,-168226000,103817000,0,0,5852000,1,28194620,26831307,26853693,3.869,3238981000,0,0,0,120.716,2009,6,2
ESS,APARTMENT,3/31/09,2/21/20,5/7/09,67973.42,-58942000,3161915000,32.795,-37242000,78820000,33378000,23338000,2.301,1811816000,0,0,0,0.064,1.03,38599000,38599000,0.365,18396000,1.61,1.53,860048000,3497756218,24,13.645,17821000,0.68,72501000,0.685,0,20203000,4894911000,0,100746000,1978584000,1764760218,23303000,0,-19828000,59169000,-29169000,-28163000,-3597000,61000,55063000,0,18396000,42265000,-2250000,4942000,0.399,35408000,37093000,63896000,0.64,2.052,21.346,20.025,2902341000,-23869000,64.28,4.193,4.005,46141000,-151615000,105879000,0,0,6233000,1,27454266,26224946,28692959,4.037,3161915000,0,0,0,120.569,2009,3,1
ESS,APARTMENT,12/31/08,2/21/20,2/27/09,67973.42,-75424000,3164823000,32.259,-105547000,54719000,34432000,20655000,2.295,1760647000,0,110860000,0,0.075,1.02,41023000,151883000,1.432,20655000,0.71,0.71,844918000,3164876541,22,12.44,-67354000,-2.572,71600000,0.675,0,20368000,4870751000,0,100232000,1939172000,1458948541,8505000,0,9140000,50533000,-28853000,11366000,-41054000,24139000,38193000,0,20655000,18345000,-3254000,0,0.173,37030000,34570000,56828000,1.437,1.727,26,24.395,2912035000,2310000,54.4,3.533,3.321,47637000,-130697000,106032000,0,3940000,7384000,1,26818907,26191635,25839759,4.048,3164823000,0,0,0,120.833,2008,12,4
ESS,APARTMENT,9/30/08,2/21/20,11/3/08,67973.42,-15911000,3159326000,34.639,-89993000,45956000,34349000,14686000,2.143,1730126000,0,0,0,0.046,1.02,34085000,34085000,0.327,14686000,0.5,0.49,869801000,4030900097,22,14.373,-36678000,-1.461,69869000,0.67,0,19399000,4843496000,0,124977000,1863683000,2346730097,12409000,0,135633000,7103000,-27577000,107198000,-148104000,-54867000,53315000,0,14686000,12376000,584000,0,0.119,34476000,35393000,84848000,2.04,2.698,26.351,24.328,2906823000,2310000,87.58,5.756,5.394,46749000,-122044000,104218000,0,0,6524000,1,26795274,25110710,25474924,4.15,3159326000,0,0,0,125.816,2008,9,3
ESS,APARTMENT,6/30/08,2/21/20,8/6/08,67973.42,-10887000,3063909000,30.394,-72552000,33077000,34550000,11999000,2.503,1765222000,0,0,0,0.033,1.02,31780000,31780000,0.303,11999000,0.39,0.38,752820000,4785448907,27,17.158,-30054000,-1.213,70243000,0.67,0,19781000,4796054000,0,69049000,1884184000,3053303907,10638000,0,2211000,79727000,-27589000,37989000,-69849000,2495000,42498000,0,11999000,9688000,0,0,0.092,35195000,35048000,71433000,2.615,4.056,35.227,34.123,2884638000,2311000,119.43,7.543,7.308,44611000,-107983000,104793000,0,0,6512000,1,25565636,24768626,25153826,4.231,3063909000,0,0,0,123.701,2008,6,2
